         4529737 function calls (4520266 primitive calls) in 10.091 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8536    0.008    0.000    0.055    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\base.py:231(is_dtype)
     3741    0.008    0.000    0.023    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\_dtype.py:319(_name_get)
23011/21005    0.008    0.000    0.009    0.000 {built-in method builtins.len}
     8039    0.008    0.000    0.008    0.000 {built-in method builtins.hasattr}
     1148    0.007    0.000    0.016    0.000 {method 'format' of 'str' objects}
      786    0.007    0.000    0.011    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\artist.py:82(__init__)
      222    0.007    0.000    0.015    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\managers.py:216(_rebuild_blknos_and_blklocs)
        2    0.007    0.004    0.007    0.004 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\ma\core.py:2331(masked_invalid)
        2    0.006    0.003    0.007    0.003 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\image.py:166(_rgb_to_rgba)
        2    0.006    0.003    0.073    0.037 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:1198(_findfont_cached)
     5014    0.006    0.000    0.015    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:1886(_is_dtype_type)
     4602    0.006    0.000    0.017    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:1743(is_extension_array_dtype)
      914    0.006    0.000    0.006    0.000 {built-in method numpy.concatenate}
      204    0.006    0.000    0.163    0.001 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\text.py:280(_get_layout)
     1029    0.006    0.000    0.050    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\blocks.py:3193(get_block_type)
     4610    0.006    0.000    0.008    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\dtypes.py:83(find)
     1060    0.006    0.000    0.024    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\artist.py:885(update)
      185    0.005    0.000    0.033    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\concat.py:273(get_empty_dtype_and_na)
      356    0.005    0.000    0.056    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\algorithms.py:1608(take_nd)
     3751    0.005    0.000    0.015    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numerictypes.py:365(issubdtype)
     1072    0.005    0.000    0.006    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:1093(score_stretch)
        2    0.005    0.003    1.058    0.529 C:\Users\Emil\Documents\UCT\Third Year\CSC3003S\Capstone\Prototype\egypt-simulation\src\simulation\frame_view.py:90(fertility_img)
     7502    0.005    0.000    0.009    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numerictypes.py:293(issubclass_)
     1072    0.005    0.000    0.006    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:1111(score_weight)
     1482    0.005    0.000    0.016    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
     2768    0.005    0.000    0.013    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\abc.py:178(__instancecheck__)
     2368    0.005    0.000    0.011    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:255(is_sparse)
 2264/848    0.004    0.000    0.006    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:134(_invalidate_internal)
      184    0.004    0.000    0.021    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\lines.py:637(recache)
     1072    0.004    0.000    0.010    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:1032(score_family)
     1540    0.004    0.000    0.012    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\blocks.py:170(_consolidate_key)
     2132    0.004    0.000    0.010    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\cbook\__init__.py:1981(_setattr_cm)
     1096    0.004    0.000    0.073    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\blocks.py:3239(make_block)
     4903    0.004    0.000    0.004    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\_weakrefset.py:70(__contains__)
     1096    0.004    0.000    0.017    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\blocks.py:120(__init__)
       36    0.004    0.000    0.004    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      378    0.004    0.000    0.012    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:575(__init__)
    15044    0.004    0.000    0.004    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\artist.py:728(get_animated)
      108    0.003    0.000    0.052    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\text.py:694(draw)
       66    0.003    0.000    0.004    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      114    0.003    0.000    0.149    0.001 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axis.py:72(__init__)
       70    0.003    0.000    0.029    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\lines.py:721(draw)
      260    0.003    0.000    0.011    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\colors.py:184(_to_rgba_no_colorcycle)
      768    0.003    0.000    0.005    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:621(__hash__)
      473    0.003    0.000    0.003    0.000 {method 'astype' of 'numpy.ndarray' objects}
     3580    0.003    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:83(__init__)
     2286    0.003    0.000    0.005    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:1725(__init__)
     1150    0.003    0.000    0.004    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\contextlib.py:60(__init__)
      939    0.003    0.000    0.019    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\colors.py:150(to_rgba)
     2351    0.003    0.000    0.010    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:225(is_object_dtype)
      218    0.003    0.000    0.005    0.000 {pandas._libs.lib.infer_dtype}
     1049    0.003    0.000    0.003    0.000 {built-in method numpy.empty}
      970    0.003    0.000    0.009    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\_dtype.py:46(__str__)
      748    0.003    0.000    0.007    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:676(require)
      510    0.003    0.000    0.019    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\markers.py:294(set_marker)
     1072    0.003    0.000    0.004    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:1055(<listcomp>)
     1072    0.003    0.000    0.010    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\blocks.py:243(mgr_locs)
     1519    0.003    0.000    0.012    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\dtypes.py:1092(is_dtype)
