         4529737 function calls (4520266 primitive calls) in 10.091 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       68    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\indexes\base.py:5791(default_index)
      184    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\lib\stride_tricks.py:257(<listcomp>)
        2    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\ma\core.py:3535(shrink_mask)
        8    0.000    0.000    0.064    0.008 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\ops\__init__.py:974(wrapper)
       26    0.000    0.000    0.001    0.000 {method 'get_value' of 'pandas._libs.index.IndexEngine' objects}
      106    0.000    0.000    0.020    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\generic.py:5250(f)
      146    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\generic.py:5146(__finalize__)
       97    0.000    0.000    0.000    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
      165    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:1284(is_datetime_or_timedelta_dtype)
       18    0.000    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\ma\core.py:2775(__new__)
       68    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\indexes\range.py:148(_simple_new)
       18    0.000    0.000    0.132    0.007 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\tkinter\__init__.py:3478(__init__)
        6    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\gridspec.py:91(get_grid_positions)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:402(parent)
       30    0.000    0.000    0.021    0.001 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\construction.py:204(<listcomp>)
       96    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axis.py:1571(set_major_formatter)
       12    0.000    0.000    0.011    0.001 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axis.py:701(__init__)
       78    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\tkinter\__init__.py:93(_cnfmerge)
      132    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\text.py:1195(is_math_text)
        2    0.000    0.000    7.923    3.961 simulation_driver.py:57(run_year_simulation)
       54    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axis.py:417(apply_tickdir)
       30    0.000    0.000    0.051    0.002 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\blocks.py:2783(convert)
      106    0.000    0.000    0.020    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\generic.py:5237(_protect_consolidate)
       24    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:1668(_set)
       34    0.000    0.000    0.005    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\reshape\concat.py:489(_get_new_axes)
       78    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\markers.py:767(_set_tickup)
      108    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:2619(__init__)
       14    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axes\_base.py:3532(set_ylim)
      258    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:732(set_variant)
      124    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:357(ymax)
      118    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:350(xmax)
       68    0.000    0.000    0.000    0.000 {built-in method pandas._libs.lib.is_datetime_array}
       12    0.000    0.000    0.005    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\series.py:4047(_reduce)
      276    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\text.py:974(set_horizontalalignment)
       26    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\indexes\base.py:4695(get_value)
      186    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\managers.py:1584(internal_values)
      168    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:2204(transform_non_affine)
      178    0.000    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\backend_bases.py:671(new_gc)
       24    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\managers.py:970(iget)
      142    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\generic.py:401(_get_axis_number)
      153    0.000    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:1466(needs_i8_conversion)
      124    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\_internal.py:886(npy_ctypes_check)
      176    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
      334    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\cbook\__init__.py:1876(_str_equal)
      264    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:1009(get_default_size)
      118    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:343(ymin)
      185    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\concat.py:402(is_uniform_reindex)
      316    0.000    0.000    0.018    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\missing.py:48(isna)
       58    0.000    0.000    0.008    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\indexes\base.py:653(_shallow_copy_with_infer)
       32    0.000    0.000    0.004    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\indexes\base.py:3357(reindex)
       24    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\ticker.py:1756(scale_range)
      102    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\cbook\__init__.py:142(__init__)
       90    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:378(intervalx)
      222    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\series.py:460(name)
       32    0.000    0.000    0.037    0.001 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\managers.py:1223(reindex_indexer)
       62    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_platform_int}
    46/44    0.000    0.000    0.021    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:422(bounds)
       34    0.000    0.000    0.078    0.002 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\generic.py:6014(_convert)
      317    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:219(<lambda>)
     1072    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:1065(score_style)
       40    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\cast.py:1239(construct_1d_object_array_from_listlike)
      178    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\artist.py:782(_set_gc_clip)
       36    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\indexes\base.py:635(_shallow_copy)
      404    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\indexes\base.py:3999(_internal_get_values)
   202/68    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\typing.py:1136(__subclasscheck__)
      270    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\text.py:246(set_rotation_mode)
      162    0.000    0.000    0.009    0.000 {method 'min' of 'numpy.ndarray' objects}
      372    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\concat.py:117(__init__)
      222    0.000    0.000    0.008    0.000 {method 'max' of 'numpy.ndarray' objects}
       30    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\cbook\__init__.py:162(connect)
       70    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:2760(__init__)
      372    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\concat.py:463(_next_or_none)
      146    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\fromnumeric.py:942(argsort)
       96    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axis.py:1587(set_minor_formatter)
       24    0.000    0.000    0.006    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axis.py:1853(_get_pixel_distance_along_axis)
      156    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axis.py:324(set_label2)
       30    0.000    0.000    0.039    0.001 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\generic.py:4518(_reindex_axes)
       24    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\_methods.py:151(_ptp)
       98    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:793(unit)
       26    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\base.py:831(array)
      825    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       66    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\tkinter\__init__.py:1189(_bind)
      696    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\blocks.py:337(shape)
      134    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\managers.py:132(<listcomp>)
      194    0.000    0.000    0.000    0.000 {pandas._libs.lib.array_equivalent_object}
      280    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\backend_bases.py:953(set_foreground)
      114    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axis.py:190(_set_labelrotation)
       34    0.000    0.000    0.166    0.005 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\reshape\concat.py:31(concat)
       96    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axis.py:1619(set_minor_locator)
       88    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:3063(__exit__)
      346    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\lines.py:526(set_markevery)
       26    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\arrays\numpy_.py:39(__init__)
      117    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\blocks.py:2775(is_bool)
      242    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\indexes\base.py:682(is_)
     1072    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:1138(score_size)
      124    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\managers.py:1557(dtype)
      754    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      386    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\concat.py:156(<genexpr>)
      436    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\managers.py:1522(_block)
      156    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axis.py:311(set_label1)
      146    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\generic.py:414(_get_axis_name)
       24    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\ticker.py:704(_set_orderOfMagnitude)
      458    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:1705(_get_is_affine)
    48/40    0.000    0.000    0.001    0.000 {method 'view' of 'numpy.generic' objects}
     1072    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:679(get_size)
       64    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\getlimits.py:365(__new__)
       70    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\lines.py:679(_transform_path)
       58    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       36    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:2263(__init__)
        2    0.000    0.000    0.095    0.048 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\backends\_backend_tk.py:654(_init_toolbar)
      510    0.000    0.000    0.000    0.000 C:\Users\Emil\Documents\UCT\Third Year\CSC3003S\Capstone\Prototype\egypt-simulation\src\simulation\household.py:83(knowledge_radius)
       88    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:3058(__enter__)
       32    0.000    0.000    0.022    0.001 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\blocks.py:1292(take_nd)
       26    0.000    0.000    0.010    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\series.py:1061(__getitem__)
       34    0.000    0.000    0.010    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\indexes\base.py:4303(append)
       64    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:809(from_bounds)
       30    0.000    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\generic.py:3266(_get_item_cache)
       28    0.000    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\construction.py:759(_try_cast)
      652    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\artist.py:792(get_rasterized)
     1072    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:1082(score_variant)
        2    0.000    0.000    0.045    0.022 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\backends\_backend_tk.py:203(__init__)
       24    0.000    0.000    0.039    0.002 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\ticker.py:1987(tick_values)
      124    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\_weakrefset.py:26(__exit__)
       24    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\ntpath.py:74(join)
       32    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\indexes\api.py:151(_union_indexes)
       24    0.000    0.000    0.008    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\spines.py:485(linear_spine)
      186    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:631(__eq__)
       48    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\ticker.py:193(_divmod)
       28    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\tkinter\__init__.py:1334(nametowidget)
      790    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_object}
        2    0.000    0.000    0.002    0.001 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\managers.py:1725(form_blocks)
        6    0.000    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axes\_base.py:2510(_update_title_position)
      127    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\_weakrefset.py:81(add)
       62    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\indexes\base.py:4814(_maybe_promote)
      120    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:827(copy)
      204    0.000    0.000    0.003    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\fromnumeric.py:3373(round_)
      576    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\artist.py:724(get_visible)
       88    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\numeric.py:3054(__init__)
        6    0.000    0.000    0.026    0.004 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axis.py:1924(_update_label_position)
      462    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\concat.py:142(<genexpr>)
      274    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\figure.py:457(_get_dpi)
      106    0.000    0.000    0.019    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\managers.py:918(consolidate)
       24    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axis.py:2232(_get_pixel_distance_along_axis)
       24    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\spines.py:203(_adjust_location)
      384    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\ticker.py:234(set_axis)
       64    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\copy.py:66(copy)
      104    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\ma\core.py:3349(dtype)
  178/170    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:2639(get_matrix)
       34    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\tkinter\__init__.py:581(destroy)
       62    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\patches.py:337(set_linewidth)
      650    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\path.py:203(vertices)
       30    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\io\formats\printing.py:188(as_escaped_unicode)
      770    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\font_manager.py:688(get_file)
      144    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\generic.py:427(_get_axis)
      186    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\series.py:559(_values)
      118    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\artist.py:836(set_alpha)
       36    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\generic.py:347(_construct_axes_from_arguments)
      134    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:1163(is_datetime64_any_dtype)
       94    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\transforms.py:386(intervaly)
        2    0.000    0.000    0.057    0.029 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\figure.py:280(__init__)
      178    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\backend_bases.py:1022(get_hatch_path)
       12    0.000    0.000    0.002    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\nanops.py:239(_get_values)
      332    0.000    0.000    0.000    0.000 {pandas._libs.lib.infer_datetimelike_array}
       70    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\markers.py:260(__bool__)
      130    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\dtypes.py:717(construct_from_string)
       36    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\numpy\core\fromnumeric.py:41(_wrapit)
       98    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:1006(is_signed_integer_dtype)
       26    0.000    0.000    0.006    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\internals\managers.py:1540(get_slice)
      204    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\text.py:1245(get_usetex)
      136    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:180(ensure_python_int)
      140    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\series.py:443(_set_subtyp)
       24    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\spines.py:392(set_position)
      201    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\concat.py:127(is_nonempty)
        6    0.000    0.000    0.007    0.001 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axes\_base.py:2401(autoscale_view)
       26    0.000    0.000    0.007    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\series.py:1173(_get_values)
      128    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\indexes\base.py:614(_get_attributes_dict)
     30/4    0.000    0.000    7.940    1.985 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\tkinter\__init__.py:1694(__call__)
        2    0.000    0.000    0.020    0.010 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\image.py:258(_make_image)
      124    0.000    0.000    0.001    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\series.py:467(dtype)
       50    0.000    0.000    0.004    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
      206    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\indexes\base.py:701(_reset_identity)
        6    0.000    0.000    0.444    0.074 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\axes\_base.py:2556(draw)
      652    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\matplotlib\artist.py:811(get_agg_filter)
       99    0.000    0.000    0.000    0.000 C:\Users\Emil\AppData\Local\Programs\Python\Python36-32\lib\site-packages\pandas\core\dtypes\common.py:1510(is_numeric_dtype)
